a;b;c
5458.83; 5871.76; 6623.65
811.02; 512.27; 806.78
-3748.36; -3462.39; -4550.42
-7499.36; -7383.56; -7927.58
925.40; 1885.84; 1341.82
5389.71; 4583.79; 2951.74
-1677.16; -1139.59; -1632.47
-2757.83; -3189.29; -3400.83
-6293.09; -7000.98; -7106.75
2463.97; 2164.82; 2059.05
5539.36; 5689.52; 5372.20
-255.87; -177.56; -253.92
-2291.48; -2107.21; -1544.03
-6060.80; -5859.96; -5578.37
3576.25; 3501.49; 3783.08
5605.44; 5814.66; 6659.43
818.37; 559.18; 939.04
-2583.87; -2326.38; -2456.71
-6842.36; -6738.19; -6803.36
2479.48; 2161.81; 2096.64
5874.86; 5177.85; 4982.35
-180.45; -62.62; -98.37
-3039.54; -2751.99; -3229.30
-7127.42; -6333.16; -6571.82
1287.18; 2176.80; 1938.14
5757.57; 4740.00; 4024.02
-705.53; -482.60; -784.52
-2987.55; -2457.57; -2662.35
-6512.80; -6233.52; -6335.91
2440.54; 2057.13; 1954.74
4957.28; 5205.83; 4898.66
-221.11; -264.55; -326.18
-2128.75; -2604.51; -2456.06
-6196.92; -6843.11; -6768.88
2376.14; 2871.99; 2946.22
5570.26; 6079.83; 6302.50
199.57; 105.23; 167.77
-2727.58; -2432.26; -2696.64
-6721.29; -6781.65; -6913.84
2127.72; 2490.03; 2357.84
5475.18; 5501.92; 5105.35
-366.70; -294.50; -329.35
-3616.82; -2838.60; -3530.16
-6367.47; -7260.74; -7606.52
1552.45; 2305.16; 1959.38
4961.98; 5157.80; 4120.46
-982.14; -634.73; -1119.83
-3742.52; -3147.50; -4077.73
-6841.03; -6758.67; -7223.79
1064.21; 1880.44; 1415.33
5084.84; 4583.20; 3187.85
-1475.47; -983.12; -1396.13
-2769.56; -3004.95; -3037.18
-6508.40; -6060.26; -6076.38
2481.51; 2471.24; 2455.13
5542.20; 5611.59; 5563.24
-48.05; -44.90; -123.41
-2631.65; -3066.30; -3620.15
-6577.85; -7227.86; -7504.78
1256.79; 1896.94; 1620.01
5439.17; 5404.71; 4573.93
-922.36; -652.50; -823.55
-2349.58; -2337.87; -2240.58
-6834.07; -6908.76; -6860.11
2576.87; 2250.21; 2298.86
5051.89; 6061.09; 6207.02
153.68; 186.19; 209.26
-2606.18; -1985.73; -1920.45
-6516.06; -6688.23; -6655.59
2352.20; 2500.22; 2532.86
5397.66; 5839.14; 5937.06
16.57; 79.34; 20.05
-2099.24; -1803.90; -1257.00
-6605.29; -5849.28; -5575.83
3420.14; 2924.67; 3198.12
6221.23; 6036.01; 6856.37
833.76; 562.68; 898.32
-2453.92; -2232.06; -2373.71
-6079.68; -6403.19; -6474.02
2594.63; 2097.69; 2026.86
5871.51; 5778.12; 5565.63
-168.07; -203.76; -208.89
-2818.50; -2928.56; -3084.03
-6255.15; -6226.42; -6304.16
2128.51; 2643.22; 2565.48
5227.26; 4910.91; 4677.70
-145.95; -77.39; -330.14
-3975.81; -3637.26; -5043.01
-7647.46; -6886.32; -7589.19
850.91; 1129.71; 426.84
4432.90; 4358.76; 2250.14
-2016.59; -1491.51; -2047.94
-1036.20; -1278.14; -247.05
-6156.86; -5522.84; -5007.29
3996.80; 3523.21; 4038.76
5634.78; 6686.48; 8233.13
1503.54; 1091.52; 1486.76
-2067.06; -1747.71; -1124.45
-6521.91; -6262.84; -5951.21
3188.12; 3500.53; 3812.16
5362.88; 5795.78; 6730.67
914.41; 664.72; 898.92
-2052.04; -2116.49; -1869.64
-6133.80; -6300.05; -6176.63
2966.63; 2569.40; 2692.83
6053.24; 5492.95; 5863.23
416.00; 248.76; 434.30
-2712.13; -2349.45; -2365.12
-6481.28; -6534.57; -6542.41
2575.16; 2194.67; 2186.83
5648.45; 5552.29; 5528.78
-27.93; -35.80; -71.15
-2563.93; -3031.09; -3481.96
-6461.26; -6755.74; -6981.17
1926.59; 1705.00; 1479.56
5034.17; 5505.88; 4829.57
-767.53; -410.14; -692.96
-2225.01; -2017.26; -1659.78
-5974.48; -6659.68; -6480.94
2899.14; 3306.94; 3485.68
5246.14; 6009.69; 6545.91
441.22; 287.54; 442.88
-3101.35; -2835.30; -3422.51
-6950.48; -6597.58; -6891.18
1592.07; 2240.92; 1947.32
4965.19; 4443.82; 3563.01
-942.75; -534.51; -917.40
-2230.34; -1852.42; -1607.90
-6308.52; -5954.58; -5832.32
2405.96; 2405.86; 2528.11
5496.84; 5316.35; 5683.13
425.11; 277.46; 447.02
-1371.38; -1651.19; -913.63
-6261.68; -6514.44; -6145.66
3207.43; 3123.75; 3492.53
6036.14; 6406.61; 7512.95
1131.39; 637.87; 1198.00
-2746.11; -2504.20; -2260.78
-6657.13; -6205.73; -6084.02
2398.31; 2454.37; 2576.08
5127.08; 6177.30; 6542.42
306.89; 254.69; 418.85
-3634.78; -3185.09; -3837.59
-6406.59; -6805.19; -7131.44
1697.30; 2153.61; 1827.36
4765.68; 4712.35; 3733.59
-975.09; -705.03; -1012.89
-2336.61; -2346.98; -2450.06
-6159.78; -6168.08; -6219.62
2119.93; 2271.31; 2219.77
5602.83; 5132.48; 4977.85
-207.57; -148.45; -137.35
-2912.50; -2458.56; -2665.47
-6483.87; -6775.91; -6879.37
2034.61; 2172.47; 2069.01
5669.23; 5548.87; 5238.50
-395.38; -211.44; -336.07
-2948.41; -2744.96; -3288.97
-6602.35; -6490.53; -6762.54
1934.98; 1957.39; 1685.38
5451.31; 5113.70; 4297.69
-899.76; -639.03; -801.14
-2560.36; -2710.09; -2774.72
-7002.29; -6232.82; -6265.14
2640.27; 2490.45; 2458.13
5882.94; 5241.58; 5144.63
-112.63; -48.44; -6.98
-1316.33; -1578.13; -811.94
-5731.03; -6019.70; -5636.60
3688.19; 2794.52; 3177.62
5706.35; 6361.18; 7510.46
1206.02; 838.69; 1070.40
-1951.76; -1448.37; -506.38
-5746.46; -6106.85; -5635.86
3609.64; 3490.15; 3961.14
5659.35; 6475.40; 7888.39
1456.56; 936.89; 1450.26
-2438.53; -2549.31; -2842.71
-6632.53; -6918.53; -7065.23
1908.78; 2126.61; 1979.91
4962.00; 4769.43; 4329.32
-450.07; -234.07; -384.58
-2385.87; -2664.52; -2783.60
-6848.56; -6090.84; -6150.38
2695.64; 2753.40; 2693.85
5920.55; 5114.03; 4935.41
-233.38; -108.44; -255.19
-1926.90; -2458.82; -2322.79
-6256.67; -6245.42; -6177.41
2753.14; 2744.00; 2812.01
5121.48; 5656.95; 5860.99
108.74; 125.94; 171.95
-1598.90; -1587.52; -765.39
-6177.70; -6459.04; -6047.97
3473.29; 2829.52; 3240.58
6368.23; 6279.50; 7512.69
1210.24; 758.18; 1253.21
-1571.09; -2257.17; -1629.41
-6205.80; -6444.32; -6130.44
3178.68; 3513.33; 3827.21
5633.58; 6347.44; 7289.08
861.69; 599.00; 974.30
-2510.95; -2488.69; -2479.30
-6227.04; -6785.44; -6780.74
2255.77; 2452.69; 2457.39
5150.66; 5844.93; 5859.02
0.24; -69.42; 26.67
-2619.89; -2747.16; -2781.00
-6840.57; -6719.43; -6736.34
2755.78; 2063.27; 2046.35
5241.58; 5890.60; 5839.85
-144.88; -4.57; -58.18
-3207.28; -2675.94; -3055.04
-6198.82; -6683.52; -6873.08
1720.59; 2003.94; 1814.39
5560.31; 5028.84; 4460.18
-497.67; -399.19; -524.08
-1773.77; -2368.04; -1820.14
-6358.68; -5923.17; -5649.22
3496.81; 3298.88; 3572.83
5386.27; 5937.59; 6759.44
885.10; 448.13; 825.35
-3052.68; -3003.02; -3744.59
-7191.47; -6699.30; -7070.09
1798.84; 1786.27; 1415.48
5010.11; 5052.46; 3940.11
-1153.16; -720.01; -1172.57
-1946.28; -1522.14; -795.30
-5773.81; -6538.37; -6174.95
4055.88; 3570.09; 3933.51
